<META>
author:Wida Sari
tanggal_dibuat:21/11/2011
email:wida.sari@yahoo.com
nama_file:indeks_harga_konsumen_inflasi_1979_2011.txt
deskripsi:indeks_harga_konsumen_inflasi_1979_2011;www.bps.go.id/aboutus.php?inflasi=1
kegunaan:demo
lokasi:data/indeks_harga_konsumen_inflasi_1979_2011.txt
primary_key:Bulan
sifat_tabel:statistik
struktur_tabel:Bulan;IHK;INFLASI
</META>
<DATA>
Bulan;IHK;INFLASI
Jan - 1979;118.33;2.58
Feb - 1979;121.10;2.34
Mar - 1979;121.77;0.55
Apr - 1979;125.45;3.02
Mei - 1979;129.27;3.05
Jun - 1979;132.27;2.32
Jul - 1979;135.58;2.50
Agt - 1979;138.75;2.34
Sep - 1979;139.78;0.74
Okt - 1979;141.03;0.89
Nov - 1979;141.84;0.57
Des - 1979;143.07;0.87
Jan - 1980;144.77;1.19
Feb - 1980;146.82;1.42
Mar - 1980;147.14;0.22
Apr - 1980;148.67;1.04
Mei - 1980;154.31;3.79
Jun - 1980;156.61;1.49
Jul - 1980;158.33;1.10
Agt - 1980;160.21;1.19
Sep - 1980;160.78;0.36
Okt - 1980;163.49;1.69
Nov - 1980;167.12;2.22
Des - 1980;167.55;0.26
Jan - 1981;169.75;1.31
Feb - 1981;170.94;0.70
Mar - 1981;172.14;0.70
Apr - 1981;173.74;0.93
Mei - 1981;174.00;0.15
Jun - 1981;174.73;0.42
Jul - 1981;176.83;1.20
Agt - 1981;177.74;0.51
Sep - 1981;177.40;-0.19
Okt - 1981;179.48;1.17
Nov - 1981;178.91;-0.32
Des - 1981;179.82;0.51
Jan - 1982;188.28;4.70
Feb - 1982;189.29;0.54
Mar - 1982;189.63;0.18
Apr - 1982;189.52;-0.06
Mei - 1982;189.86;0.18
Jun - 1982;190.49;0.33
Jul - 1982;192.60;1.11
Agt - 1982;191.72;-0.46
Sep - 1982;193.41;0.88
Okt - 1982;195.80;1.24
Nov - 1982;196.66;0.44
Des - 1982;197.85;0.61
Jan - 1983;206.94;4.59
Feb - 1983;207.24;0.14
Mar - 1983;205.99;-0.60
Apr - 1983;210.99;2.43
Mei - 1983;212.83;0.87
Jun - 1983;216.19;1.58
Jul - 1983;217.88;0.78
Agt - 1983;217.83;-0.02
Sep - 1983;219.61;0.82
Okt - 1983;219.59;-0.01
Nov - 1983;220.20;0.28
Des - 1983;221.53;0.60
Jan - 1984;229.11;3.42
Feb - 1984;232.91;1.66
Mar - 1984;233.42;0.22
Apr - 1984;236.48;1.31
Mei - 1984;238.02;0.65
Jun - 1984;238.69;0.28
Jul - 1984;239.58;0.37
Agt - 1984;239.22;-0.15
Sep - 1984;238.98;-0.10
Okt - 1984;239.06;0.03
Nov - 1984;236.14;0.03
Des - 1984;241.63;1.04
Jan - 1985;242.75;0.46
Feb - 1985;241.54;-0.50
Mar - 1985;242.07;0.55
Apr - 1985;248.13;2.50
Mei - 1985;249.02;0.36
Jun - 1985;251.23;0.89
Jul - 1985;250.94;-0.12
Agt - 1985;250.76;-0.07
Sep - 1985;250.38;-0.15
Okt - 1985;250.59;0.08
Nov - 1985;251.24;0.26
Des - 1985;252.20;0.38
Jan - 1986;255.39;1.26
Feb - 1986;257.18;0.70
Mar - 1986;256.07;-0.43
Apr - 1986;256.33;0.10
Mei - 1986;259.59;1.27
Jun - 1986;260.20;0.23
Jul - 1986;259.67;-0.20
Agt - 1986;260.13;0.18
Sep - 1986;267.44;2.81
Okt - 1986;272.88;2.03
Nov - 1986;274.40;0.56
Des - 1986;275.27;0.32
Jan - 1987;276.24;0.35
Feb - 1987;280.28;1.46
Mar - 1987;279.49;-0.28
Apr - 1987;279.75;0.09
Mei - 1987;284.92;1.85
Jun - 1987;285.79;0.31
Jul - 1987;286.89;0.38
Agt - 1987;288.45;0.54
Sep - 1987;290.49;0.71
Okt - 1987;294.47;1.37
Nov - 1987;299.63;1.75
Des - 1987;300.75;0.37
Jan - 1988;301.75;0.33
Feb - 1988;303.34;0.55
Mar - 1988;303.52;0.06
Apr - 1988;305.70;0.72
Mei - 1988;308.53;0.93
Jun - 1988;309.72;0.39
Jul - 1988;313.16;1.11
Agt - 1988;314.44;0.41
Sep - 1988;314.28;-0.05
Okt - 1988;315.51;0.39
Nov - 1988;316.90;0.44
Des - 1988;317.56;0.21
Jan - 1989;319.16;0.50
Feb - 1989;323.20;1.27
Mar - 1989;323.94;0.23
Apr - 1989;329.04;1.57
Mei - 1989;331.13;0.64
Jun - 1989;330.42;-0.21
Jul - 1989;331.90;0.45
Agt - 1989;332.22;0.10
Sep - 1989;332.93;0.21
Okt - 1989;335.43;0.75
Nov - 1989;337.10;0.50
Des - 1989;336.96;-0.04
Jan - 1990;240.00;0.91
Feb - 1990;343.40;0.99
Mar - 1990;342.05;-0.39
Apr - 1990;109.60;1.42
Mei - 1990;110.19;0.58
Jun - 1990;111.60;1.29
Jul - 1990;114.10;2.21
Agt - 1990;114.80;0.59
Sep - 1990;115.34;0.51
Okt - 1990;116.53;1.03
Nov - 1990;116.90;0.33
Des - 1990;116.98;0.06
Jan - 1991;117.87;0.76
Feb - 1991;118.20;0.30
Mar - 1991;118.26;0.03
Apr - 1991;120.50;1.89
Mei - 1991;120.70;0.18
Jun - 1991;121.25;0.44
Jul - 1991;123.54;1.89
Agt - 1991;125.89;1.90
Sep - 1991;126.00;0.12
Okt - 1991;127.00;0.76
Nov - 1991;128.35;1.06
Des - 1991;128.60;0.19
Jan - 1992;129.17;0.44
Feb - 1992;129.50;0.26
Mar - 1992;130.34;0.65
Apr - 1992;131.54;0.92
Mei - 1992;131.68;0.11
Jun - 1992;132.53;0.65
Jul - 1992;132.83;0.23
Agt - 1992;133.04;0.16
Sep - 1992;133.30;0.20
Okt - 1992;133.85;0.41
Nov - 1992;134.19;0.25
Des - 1992;135.08;0.66
Jan - 1993;139.00;2.92
Feb - 1993;141.80;2.03
Mar - 1993;144.00;1.49
Apr - 1993;144.20;0.15
Mei - 1993;144.40;0.14
Jun - 1993;144.70;0.24
Jul - 1993;145.70;0.67
Agt - 1993;146.20;0.32
Sep - 1993;146.60;0.28
Okt - 1993;147.40;0.59
Nov - 1993;148.04;0.41
Des - 1993;148.80;0.53
Jan - 1994;150.70;1.25
Feb - 1994;153.30;1.76
Mar - 1994;154.40;0.70
Apr - 1994;154.78;0.24
Mei - 1994;155.60;0.52
Jun - 1994;155.80;0.12
Jul - 1994;142.00;0.13
Agt - 1994;141.90;-0.06
Sep - 1994;160.20;0.53
Okt - 1994;161.60;0.89
Nov - 1994;144.10;0.76
Des - 1994;163.20;0.52
Jan - 1995;165.10;1.16
Feb - 1995;167.20;1.31
Mar - 1995;168.20;0.57
Apr - 1995;171.00;1.69
Mei - 1995;171.90;0.49
Jun - 1995;172.10;0.16
Jul - 1995;173.40;0.71
Agt - 1995;159.50;-0.16
Sep - 1995;174.60;0.38
Okt - 1995;175.70;0.64
Nov - 1995;161.50;0.19
Des - 1995;177.80;0.79
Jan - 1996;181.67;2.16
Feb - 1996;184.77;1.71
Mar - 1996;183.65;-0.61
Apr - 1996;185.08;0.78
Mei - 1996;185.19;0.06
Jun - 1996;185.06;-0.07
Jul - 1996;186.32;0.68
Agt - 1996;186.83;0.27
Sep - 1996;186.76;-0.04
Okt - 1996;187.52;0.41
Nov - 1996;188.59;0.57
Des - 1996;189.62;0.55
Jan - 1997;191.58;1.03
Feb - 1997;194.81;0.19
Mar - 1997;193.36;-0.12
Apr - 1997;194.44;0.56
Mei - 1997;194.81;0.19
Jun - 1997;194.48;-0.17
Jul - 1997;195.77;0.66
Agt - 1997;197.50;0.88
Sep - 1997;200.04;1.29
Okt - 1997;204.02;1.99
