<META>
author:Youppie Arliansyah
email:youppie@gmail.com
tanggal_dibuat:2010-11-17
nama_file:kabupaten.txt
deskripsi:Data Kabupaten Indonesia, sumber data diambil dari sumbangan Wida Sari dari file group ID-PHP
kegunaan:Demo
lokasi:data/yopi/kabupaten.txt
primary_key:Id_Kabupaten
sifat_tabel:master;hirarki
struktur_tabel:Id_Kabupaten;Nama_Kabupaten
</META>
<DATA>
Id_Kabupaten;Nama_Kabupaten
91.14.00.0000;KABUPATEN  KEEROM
91.15.00.0000;KABUPATEN  SORONG SELATAN
91.16.00.0000;KABUPATEN  RAJA AMPAT
91.17.00.0000;KABUPATEN  PEGUNUNGAN BINTANG
91.18.00.0000;KABUPATEN YAHUKIMO  
91.19.00.0000;KABUPATEN  TOLIKARA
91.21.00.0000;KABUPATEN  KAIMANA
91.22.00.0000;KABUPATEN  BOVEN DIGUL
91.23.00.0000;KABUPATEN  MAPPI
91.24.00.0000;KABUPATEN  ASMAT
91.25.00.0000;KABUPATEN SUPIORI
91.26.00.0000;KABUPATEN  TELUK WONDAMA
91.71.00.0000;KOTA JAYAPURA
91.72.00.0000;KOTA  SORONG 
14.01.00.0000;KABUPATEN KAMPAR
14.02.00.0000;KABUPATEN INDRAGIRI HULU
14.03.00.0000;KABUPATEN BENGKALIS
14.04.00.0000;KABUPATEN INDRAGIRI HILIR
14.05.00.0000;KABUPATEN PELALAWAN
14.06.00.0000;KABUPATEN ROKAN HULU
14.07.00.0000;KABUPATEN ROKAN HILIR
14.08.00.0000;KABUPATEN SIAK
14.09.00.0000;KABUPATEN KUANTAN SINGINGI
14.71.00.0000;KOTA PEKANBARU
14.72.00.0000;KOTA DUMAI
36.71.00.0000;KOTA TANGGERANG
36.72.00.0000;KOTA  CILEGON
63.01.00.0000;KABUPATEN TANAH LAUT
63.02.00.0000;KABUPATEN KOTA BARU
63.03.00.0000;KABUPATEN BANJAR
63.04.00.0000;KABUPATEN BARITO KUALA
63.05.00.0000;KABUPATEN TAPIN
63.06.00.0000;KABUPATEN HULU SUNGAI SELATAN
63.07.00.0000;KABUPATEN HULU SUNGAI TENGAH
63.08.00.0000;KABUPATEN HULU SUNGAI UTARA
63.09.00.0000;KABUPATEN TABALONG
63.10.00.0000;KABUPATEN TANAH BUMBU
63.11.00.0000;KABUPATEN BALANGAN
63.71.00.0000;KOTA BANJARMASIN
63.72.00.0000;KOTA BANJAR BARU
62.01.00.0000;KABUPATEN KOTA WARINGIN BARAT
62.02.00.0000;KABUPATEN KOTA WARINGIN TIMUR
62.03.00.0000;KABUPATEN KAPUAS
62.04.00.0000;KABUPATEN BARITO SELATAN
62.05.00.0000;KABUPATEN BARITO UTARA
62.06.00.0000;KABUPATEN KATINGAN
62.07.00.0000;KABUPATEN SERUYAN
62.08.00.0000;KABUPATEN SUKAMARA
62.09.00.0000;KABUPATEN LAMANDAU
62.10.00.0000;KABUPATEN GUNUNG MAS
62.11.00.0000;KABUPATEN PULANG PISAU
62.12.00.0000;KABUPATEN  MURUNG RAYA
62.13.00.0000;KABUPATEN  BARITO TIMUR
62.71.00.0000;KOTA PALANGKARAYA
18.01.00.0000;KABUPATEN LAMPUNG SELATAN
18.02.00.0000;KABUPATEN LAMPUNG TENGAH
18.03.00.0000;KABUPATEN LAMPUNG UTARA
18.04.00.0000;KABUPATEN LAMPUNG BARAT
18.05.00.0000;KABUPATEN TULANG BAWANG
18.06.00.0000;KABUPATEN TANGGAMUS
18.07.00.0000;KABUPATEN LAMPUNG TIMUR
18.08.00.0000;KABUPATEN WAY KANAN
18.71.00.0000;KOTA BANDAR LAMPUNG
18.72.00.0000;KOTA METRO
73.01.00.0000;KABUPATEN SELAYAR
73.02.00.0000;KABUPATEN BULUKUMBA
73.03.00.0000;KABUPATEN BANTAENG
73.04.00.0000;KABUPATEN JENEPONTO
73.05.00.0000;KABUPATEN TAKALAR
73.06.00.0000;KABUPATEN GOWA
73.07.00.0000;KABUPATEN SINJAI
71.01.00.0000;KAB. BOLOANG MONGONDOW
71.02.00.0000;KAB. MINAHASA
71.03.00.0000;KAB. KEPULAUAN SANGIHE
71.04.00.0000;KAB. KEPULAUAN TALAUD
71.05.00.0000;KAB. MINAHASA SELATAN
71.71.00.0000;KOTA MANADO
71.72.00.0000;KOTA BITUNG
71.73.00.0000;KOTA TOMOHON
13.02.00.0000;KABUPATEN SOLOK
36.02.00.0000;KABUPATEN LEBAK
36.03.00.0000;KABUPATEN TANGGERANG
36.04.00.0000;KABUPATEN SERANG
36.05.00.0000;KOTA TANGGERANG
36.06.00.0000;KOTA  CILEGON
82.01.00.0000;KABUPATEN MALUKU UTARA
36.01.00.0000;KABUPATEN PANDEGLANG
17.01.00.0000;KABUPATEN BENGKULU SELATAN
17.02.00.0000;KABUPATEN REJANG LEBONG
17.03.00.0000;KABUPATEN BENGKULU UTARA
17.04.00.0000;KABUPATEN  MUKOMUKO
17.05.00.0000;KABUPATEN   SELUMA
17.06.00.0000;KABUPATEN   KAUR
17.07.00.0000;KABUPATEN LEBONG
17.08.00.0000;KABUPATEN KEPAHIANG
17.71.00.0000;KOTA BENGKULU
34.01.00.0000;KABUPATEN KULONPROGO
34.02.00.0000;KABUPATEN BANTUL
34.03.00.0000;KABUPATEN GUNUNG KIDUL
34.04.00.0000;KABUPATEN SLEMAN
34.71.00.0000;KOTA YOGYAKARTA
31.71.00.0000;KOTA JAKARTA PUSAT
31.72.00.0000;KOTA JAKARTA UTARA
31.73.00.0000;KOTA JAKARTA BARAT
31.74.00.0000;KOTA JAKARTA SELATAN
31.75.00.0000;KOTA JAKARTA TIMUR
31.76.00.0000;KABUPATEN KEPULAUAN SERIBU
75.01.00.0000;KABUPATEN GORONTALO
75.02.00.0000;KABUPATEN BOALEMO
75.03.00.0000;KABUPATEN BONE BOLANGO
75.04.00.0000;KABUPATEN POHUWATO
75.71.00.0000;KOTA GORONTALO
92.05.00.0000;KABUPATEN  FAK FAK 
92.06.00.0000;KABUPATEN  SORONG 
92.07.00.0000;KABUPATEN  MANOKWARI
92.15.00.0000;KABUPATEN  SORONG SELATAN
92.16.00.0000;KABUPATEN  RAJA AMPAT
92.21.00.0000;KABUPATEN  KAIMANA
92.25.00.0000;KABUPATEN  TELUK BINTUNI
92.26.00.0000;KABUPATEN  TELUK WONDAMA
92.72.00.0000;KOTA  SORONG 
32.01.00.0000;KABUPATEN BOGOR
32.02.00.0000;KABUPATEN SUKABUMI
32.03.00.0000;KABUPATEN CIANJUR
32.04.00.0000;KABUPATEN BANDUNG
32.05.00.0000;KABUPATEN GARUT
32.06.00.0000;KABUPATEN TASIKMALAYA
32.07.00.0000;KABUPATEN CIAMIS
32.08.00.0000;KABUPATEN KUNINGAN
32.09.00.0000;KABUPATEN CIREBON
32.10.00.0000;KABUPATEN MAJALENGKA
32.11.00.0000;KABUPATEN SUMEDANG
32.12.00.0000;KABUPATEN INDRAMAYU
32.13.00.0000;KABUPATEN SUBANG
32.14.00.0000;KABUPATEN PURWAKARTA
32.15.00.0000;KABUPATEN KARAWANG
32.16.00.0000;KABUPATEN BEKASI
32.71.00.0000;KOTA BOGOR
32.72.00.0000;KOTA SUKABUMI
32.73.00.0000;KOTA BANDUNG
32.74.00.0000;KOTA CIREBON
32.75.00.0000;KOTA BEKASI
32.76.00.0000;KOTA DEPOK
32.77.00.0000;KOTA CIMAHI
32.78.00.0000;KOTA TASIKMALAYA
32.79.00.0000;KOTA BANJAR
19.01.00.0000;KABUPATEN  BANGKA
19.02.00.0000;KABUPATEN  BELITUNG
19.03.00.0000;KABUPATEN  BANGKA SELATAN
19.04.00.0000;KABUPATEN  BANGKA TENGAH
19.05.00.0000;KABUPATEN BANGKA BARAT
19.06.00.0000;KABUPATEN BELITUNG TIMUR
19.71.00.0000;KOTA PANGKALPINANG
82.02.00.0000;KABUPATEN HALMAHERA TENGAH
82.03.00.0000;KABUPATEN HALMAHERA UTARA
82.04.00.0000;KABUPATEN HALMAHERA SELATAN
82.05.00.0000;KABUPATEN KEPULAUAN SULA
82.06.00.0000;KABUPATEN HALMAHERA TIMUR
82.07.00.0000;KOTA TIDORE KEPULAUAN
82.71.00.0000;KOTA TERNATE
52.01.00.0000;KABUPATEN LOMBOK BARAT
52.02.00.0000;KABUPATEN LOMBOK TENGAH
52.03.00.0000;KABUPATEN LOMBOK TIMUR
52.04.00.0000;KABUPATEN SUMBAWA
52.05.00.0000;KABUPATEN DOMPU
52.06.00.0000;KABUPATEN  BIMA
52.07.00.0000;KABUPATEN SUMBAWA BARAT
52.71.00.0000;KOTA MATARAM
52.72.00.0000;KOTA  BIMA
53.01.00.0000;KABUPATEN KUPANG
53.02.00.0000;KABUPATEN TIMOR TENGAH SELATAN
53.03.00.0000;KABUPATEN TIMOR TENGAH  UTARA
53.04.00.0000;KABUPATEN  B E L U
53.05.00.0000;KABUPATEN  ALOR
53.06.00.0000;KABUPATEN  FLORES TIMUR
53.07.00.0000;KABUPATEN  SIKKA
53.08.00.0000;KABUPATEN  ENDE
53.09.00.0000;KABUPATEN  NGADA
53.10.00.0000;KABUPATEN  MANGGARAI
53.11.00.0000;KABUPATEN  SUMBA TIMUR
53.12.00.0000;KABUPATEN  SUMBA BARAT
53.13.00.0000;KABUPATEN  LEMBATA.
53.14.00.0000;KABUPATEN  ROTE NDAO
53.15.00.0000;KABUPATEN  MANGGARAI BARAT
53.71.00.0000;KOTA KUPANG
74.01.00.0000;KABUPATEN KOLAKA
74.02.00.0000;KABUPATEN KENDARI
74.03.00.0000;KABUPATEN MUNA
74.04.00.0000;KABUPATEN BUTON
74.05.00.0000;KABUPATEN KONAWE SELATAN
74.71.00.0000;KOTA KENDARI
74.72.00.0000;KOTA BAU BAU
74.08.00.0000;KABUPATEN KOLAKA TIMUR
74.06.00.0000;KABUPATEN BOMBANA
74.07.00.0000;KABUPATEN WAKATOBI
51.01.00.0000;KABUPATEN JEMBRANA
51.02.00.0000;KABUPATEN TABANAN
51.03.00.0000;KABUPATEN BADUNG
51.04.00.0000;KABUPATEN GIANYAR
51.05.00.0000;KABUPATEN KLUNGKUNG
51.06.00.0000;KABUPATEN BANGLI
51.07.00.0000;KABUPATEN KARANG ASEM
51.08.00.0000;KABUPATEN BULELENG
51.71.00.0000;KOTA DENPASAR
15.01.00.0000;KABUPATEN KERINCI
15.02.00.0000;KABUPATEN  MERANGIN
15.03.00.0000;KABUPATEN  SAROLANGUN 
15.04.00.0000;KABUPATEN  BATANG HARI
15.05.00.0000;KABUPATEN   MUARO JAMBI
15.06.00.0000;KABUPATEN TANJUNG JABUNG BARAT
15.07.00.0000;KABUPATEN TANJUNG JABUNG TIMUR
15.08.00.0000;KABUPATEN BUNGO 
15.09.00.0000;KABUPATEN  TEBO
15.71.00.0000;KOTA JAMBI
61.01.00.0000;KABUPATEN SEKADAU
61.02.00.0000;KABUPATEN PONTIANAK
61.03.00.0000;KABUPATEN SANGGAU
61.04.00.0000;KABUPATEN KETAPANG
61.05.00.0000;KABUPATEN SINTANG
61.06.00.0000;KABUPATEN KAPUAS HULU
61.07.00.0000;KABUPATEN BENGKAYANG
61.08.00.0000;KABUPATEN LANDAK
61.09.00.0000;KABUPATEN MELAWI
61.71.00.0000;KOTA PONTIANAK
61.72.00.0000;KOTA SINGKAWANG
21.01.00.0000;KABUPATEN KEPULAUAN RIAU
21.02.00.0000;KABUPATEN KARIMUN
21.03.00.0000;KABUPATEN NATUNA
21.04.00.0000;KABUPATEN LINGGA
21.71.00.0000;KOTA BATAM
21.72.00.0000;KOTA TANJUNG PINANG
91.01.00.0000;KABUPATEN  PUNCAK JAYA
91.02.00.0000;KABUPATEN  WAROPEN
91.03.00.0000;KABUPATEN JAYAPURA
91.04.00.0000;KABUPATEN  NABIRE 
91.05.00.0000;KABUPATEN  FAK FAK 
91.06.00.0000;KABUPATEN  SORONG 
91.07.00.0000;KABUPATEN  MANOKWARI
91.08.00.0000;KABUPATEN YAPEN WAROPEN
91.09.00.0000;KABUPATEN  BIAK NUMFOR
91.11.00.0000;KABUPATEN  PANIAI
91.12.00.0000;KABUPATEN  MIMIKA
91.13.00.0000;KABUPATEN  SARMI
13.03.00.0000;KABUPATEN SAWAHLUNTO/SIJUNJUNG
13.10.00.0000;KABUPATEN DHARMASRAYA
13.04.00.0000;KABUPATEN TANAH DATAR
13.05.00.0000;KABUPATEN PADANG PARIAMAN
13.06.00.0000;KABUPATEN AGAM
13.07.00.0000;KABUPATEN LIMA PULUH KOTA
13.08.00.0000;KABUPATEN PASAMAN
13.09.00.0000;KABUPATEN KEPULAUAN MENTAWAI.
13.11.00.0000;KABUPATEN SOLOK SELATAN
13.12.00.0000;KABUPATEN PASAMAN BARAT
13.71.00.0000;KOTA PADANG
13.72.00.0000;KOTA SOLOK
13.73.00.0000;KOTA SAWAHLUNTO
13.74.00.0000;KOTA PADANG PANJANG
13.75.00.0000;KOTA  BUKIT TINGGI 
13.76.00.0000;KOTA PAYAKUMBUH
13.77.00.0000;KOTA PARIAMAN
16.01.00.0000;KABUPATEN OGAN KOMERING ULU
16.02.00.0000;KABUPATEN OGAN KOMERING ILIR
16.03.00.0000;KABUPATEN  MUARA ENIM
16.04.00.0000;KABUPATEN  LAHAT
16.05.00.0000;KABUPATEN  MUSI RAWAS
16.06.00.0000;KABUPATEN  MUSI BANYUASIN
16.07.00.0000;KABUPATEN  BANYUASIN
16.10.00.0000;KABUPATEN OGAN  ILIR
16.08.00.0000;KABUPATEN OGAN KOMERING ULU TIMUR
16.09.00.0000;KABUPATEN OGAN KOMERING ULU SELATAN
16.71.00.0000;KOTA PALEMBANG
16.72.00.0000;KOTA PAGAR ALAM 
16.73.00.0000;KOTA  LUBUK LINGGAU
16.74.00.0000;KOTA  PRABUMULIH
72.01.00.0000;KABUPATEN BANGGAI
72.02.00.0000;KABUPATEN POSO
72.03.00.0000;KABUPATEN DONGGALA
72.04.00.0000;KABUPATEN  TOLI TOLI
72.05.00.0000;KABUPATEN BANGGAI KEPULAUAN
72.06.00.0000;KABUPATEN MOROWALI
72.07.00.0000;KABUPATEN  BUOL
72.08.00.0000;KABUPATEN PARIGI MOUTONG
72.09.00.0000;KABUPATEN TOJO UNA UNA
72.71.00.0000;KOTA PALU
12.01.00.0000;KABUPATEN TAPANULI TENGAH
12.02.00.0000;KABUPATEN TAPANULI UTARA
12.03.00.0000;KABUPATEN TAPANULI  SELATAN
12.04.00.0000;KABUPATEN NIAS
12.05.00.0000;KABUPATEN LANGKAT
12.06.00.0000;KABUPATEN KARO
12.07.00.0000;KABUPATEN DELI SERDANG
12.08.00.0000;KABUPATEN  SIMALUNGUN.
12.09.00.0000;KABUPATEN ASAHAN
12.10.00.0000;KABUPATEN LABUHAN BATU
12.11.00.0000;KABUPATEN DAIRI
12.12.00.0000;KABUPATEN TOBA SAMOSIR
12.13.00.0000;KABUPATEN MANDAILING NATAL
12.14.00.0000;KABUPATEN NIAS SELATAN
12.15.00.0000;KABUPATEN PAKPAK BHARAT
12.16.00.0000;KABUPATEN HUMBANG HASUNDUTAN
12.17.00.0000;KABUPATEN SAMOSIR
12.18.00.0000;KABUPATEN SERDANG BEDAGAI
12.71.00.0000;KOTA MEDAN
12.72.00.0000;KOTA PEMATANG SIANTAR
12.73.00.0000;KOTA SIBOLGA
12.74.00.0000;KOTA TANJUNG BALAI
12.75.00.0000;KOTA BINJAI
12.76.00.0000;KOTA TEBING TINGGI
12.77.00.0000;KOTA PADANG SIDIMPUAN
11.01.00.0000;KABUPATEN ACEH SELATAN
11.02.00.0000;KABUPATEN ACEH TENGGARA
11.03.00.0000;KABUPATEN ACEH TIMUR
