<META>
author:Youppie Arliansyah
email:youppie@gmail.com
tanggal_dibuat:2010-11-17
nama_file:wilayah.txt
deskripsi:Data Wilayah (Propinsi, Kabupaten, Kecamatan) Indonesia, sumber data diambil dari sumbangan Wida Sari dari file group ID-PHP
kegunaan:Demo
lokasi:data/wilayah.txt
primary_key:kode_wilayah
sifat_tabel:master;hirarki
struktur_tabel:kode_wilayah;nama_wilayah
</META>
<DATA>
kode_wilayah;nama_wilayah
11.00.00.0000;Nanggroe Aceh Darussalaam
12.00.00.0000;Sumatra Utara
13.00.00.0000;Sumatra Barat
14.00.00.0000;Riau
15.00.00.0000;Jambi
16.00.00.0000;Sumatra Selatan
17.00.00.0000;Bengkulu
18.00.00.0000;Lampung
19.00.00.0000;Kep. Bangka Belitung
21.00.00.0000;Kep. Riau
31.00.00.0000;DKI Jakarta
32.00.00.0000;Jawa Barat
33.00.00.0000;Jawa Tengah
34.00.00.0000;DI Yogyakarta
35.00.00.0000;Jawa Timur
36.00.00.0000;Banten
51.00.00.0000;Bali
52.00.00.0000;Nusa Tenggara Barat
53.00.00.0000;Nusa Tenggara Timur
61.00.00.0000;Kalimantan Barat
62.00.00.0000;Kalimantan Tengah
63.00.00.0000;Kalimantan Selatan
64.00.00.0000;Kalimantan Timur
71.00.00.0000;Sulawesi Utara
72.00.00.0000;Sulawesi Tengah
73.00.00.0000;Sulawesi Selatan
74.00.00.0000;Sulawesi Tenggara
75.00.00.0000;Gorontalo
81.00.00.0000;Maluku
82.00.00.0000;Maluku Utara
91.00.00.0000;Papua
92.00.00.0000;Irian Jaya Barat
91.14.00.0000;KABUPATEN  KEEROM
91.15.00.0000;KABUPATEN  SORONG SELATAN
91.16.00.0000;KABUPATEN  RAJA AMPAT
91.17.00.0000;KABUPATEN  PEGUNUNGAN BINTANG
91.18.00.0000;KABUPATEN YAHUKIMO  
91.19.00.0000;KABUPATEN  TOLIKARA
91.21.00.0000;KABUPATEN  KAIMANA
91.22.00.0000;KABUPATEN  BOVEN DIGUL
91.23.00.0000;KABUPATEN  MAPPI
91.24.00.0000;KABUPATEN  ASMAT
91.25.00.0000;KABUPATEN SUPIORI
91.26.00.0000;KABUPATEN  TELUK WONDAMA
91.71.00.0000;KOTA JAYAPURA
91.72.00.0000;KOTA  SORONG 
14.01.00.0000;KABUPATEN KAMPAR
14.02.00.0000;KABUPATEN INDRAGIRI HULU
14.03.00.0000;KABUPATEN BENGKALIS
14.04.00.0000;KABUPATEN INDRAGIRI HILIR
14.05.00.0000;KABUPATEN PELALAWAN
14.06.00.0000;KABUPATEN ROKAN HULU
14.07.00.0000;KABUPATEN ROKAN HILIR
14.08.00.0000;KABUPATEN SIAK
14.09.00.0000;KABUPATEN KUANTAN SINGINGI
14.71.00.0000;KOTA PEKANBARU
14.72.00.0000;KOTA DUMAI
36.71.00.0000;KOTA TANGGERANG
36.72.00.0000;KOTA  CILEGON
63.01.00.0000;KABUPATEN TANAH LAUT
63.02.00.0000;KABUPATEN KOTA BARU
63.03.00.0000;KABUPATEN BANJAR
63.04.00.0000;KABUPATEN BARITO KUALA
63.05.00.0000;KABUPATEN TAPIN
63.06.00.0000;KABUPATEN HULU SUNGAI SELATAN
63.07.00.0000;KABUPATEN HULU SUNGAI TENGAH
63.08.00.0000;KABUPATEN HULU SUNGAI UTARA
63.09.00.0000;KABUPATEN TABALONG
63.10.00.0000;KABUPATEN TANAH BUMBU
63.11.00.0000;KABUPATEN BALANGAN
63.71.00.0000;KOTA BANJARMASIN
63.72.00.0000;KOTA BANJAR BARU
62.01.00.0000;KABUPATEN KOTA WARINGIN BARAT
62.02.00.0000;KABUPATEN KOTA WARINGIN TIMUR
62.03.00.0000;KABUPATEN KAPUAS
62.04.00.0000;KABUPATEN BARITO SELATAN
62.05.00.0000;KABUPATEN BARITO UTARA
62.06.00.0000;KABUPATEN KATINGAN
62.07.00.0000;KABUPATEN SERUYAN
62.08.00.0000;KABUPATEN SUKAMARA
62.09.00.0000;KABUPATEN LAMANDAU
62.10.00.0000;KABUPATEN GUNUNG MAS
